Model,Parameters,test_acc,train_acc,test_bal_acc,train_bal_acc,test_f1_macro,train_f1_macro,test_f1_weighted,train_f1_weighted,test_prec_macro,train_prec_macro,test_rec_macro,train_rec_macro,test_specificity_weighted,train_specificity_weighted,test_g_mean,train_g_mean
RidgeClassifier,2 Classes IS vs W / Normal / MinMaxScaler / RandomOverSampler,0.6181,0.6665,0.6039,0.6599,0.5971,0.6508,0.6225,0.6720,0.5997,0.6497,0.6039,0.6599,0.5897,0.6532,0.5967,0.6565
RidgeClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / Unbalanced,0.6456,0.6978,0.5723,0.6276,0.5692,0.6307,0.6209,0.6757,0.5980,0.6719,0.5723,0.6276,0.4989,0.5573,0.5343,0.5914
RidgeClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / SMOTE,0.6030,0.6696,0.5913,0.6638,0.5838,0.6543,0.6087,0.6751,0.5866,0.6533,0.5913,0.6638,0.5796,0.6579,0.5854,0.6608
RidgeClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / RandomOverSampler,0.6126,0.6669,0.5979,0.6610,0.5915,0.6516,0.6172,0.6724,0.5938,0.6506,0.5979,0.6610,0.5832,0.6551,0.5904,0.6580
RidgeClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / Unbalanced,0.6456,0.6978,0.5723,0.6274,0.5692,0.6305,0.6209,0.6755,0.5980,0.6721,0.5723,0.6274,0.4989,0.5569,0.5343,0.5911
RidgeClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / SMOTE,0.6263,0.6734,0.6197,0.6678,0.6098,0.6582,0.6320,0.6788,0.6131,0.6570,0.6197,0.6678,0.6131,0.6622,0.6163,0.6650
RidgeClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / RandomOverSampler,0.6139,0.6676,0.5998,0.6620,0.5930,0.6524,0.6186,0.6731,0.5956,0.6514,0.5998,0.6620,0.5857,0.6563,0.5926,0.6591
RidgeClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / Unbalanced,0.6525,0.6930,0.5724,0.6163,0.5671,0.6171,0.6218,0.6658,0.6125,0.6681,0.5724,0.6163,0.4924,0.5397,0.5309,0.5767
RidgeClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / SMOTE,0.6222,0.6710,0.6130,0.6634,0.6044,0.6547,0.6278,0.6761,0.6064,0.6534,0.6130,0.6634,0.6039,0.6557,0.6084,0.6595
RidgeClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / RandomOverSampler,0.6181,0.6665,0.6039,0.6599,0.5971,0.6508,0.6225,0.6720,0.5997,0.6497,0.6039,0.6599,0.5897,0.6532,0.5967,0.6565
