Model,Parameters,test_acc,train_acc,test_bal_acc,train_bal_acc,test_f1_macro,train_f1_macro,test_f1_weighted,train_f1_weighted,test_prec_macro,train_prec_macro,test_rec_macro,train_rec_macro,test_specificity_weighted,train_specificity_weighted,test_g_mean,train_g_mean
GradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / SMOTE,0.6222,0.9282,0.5857,0.9262,0.5837,0.9225,0.6188,0.9285,0.5894,0.9193,0.5857,0.9262,0.5492,0.9242,0.5671,0.9252
GradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / RandomOverSampler,0.6276,0.9224,0.6062,0.9245,0.6014,0.9169,0.6293,0.9230,0.6055,0.9117,0.6062,0.9245,0.5847,0.9265,0.5952,0.9255
GradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / Unbalanced,0.6235,0.9220,0.5576,0.8973,0.5559,0.9116,0.6050,0.9203,0.5755,0.9346,0.5576,0.8973,0.4917,0.8725,0.5236,0.8848
GradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / SMOTE,0.6290,0.9279,0.5962,0.9292,0.5946,0.9226,0.6277,0.9284,0.5980,0.9176,0.5962,0.9292,0.5633,0.9304,0.5794,0.9298
GradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / RandomOverSampler,0.6263,0.9224,0.6042,0.9245,0.5997,0.9169,0.6278,0.9230,0.6038,0.9117,0.6042,0.9245,0.5822,0.9265,0.5930,0.9255
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / Unbalanced,0.6235,0.9220,0.5568,0.8973,0.5549,0.9116,0.6045,0.9203,0.5750,0.9346,0.5568,0.8973,0.4900,0.8725,0.5223,0.8848
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / SMOTE,0.6099,0.9310,0.5650,0.9275,0.5635,0.9252,0.6033,0.9311,0.5696,0.9231,0.5650,0.9275,0.5202,0.9240,0.5420,0.9258
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / RandomOverSampler,0.6263,0.9224,0.6051,0.9245,0.6002,0.9169,0.6280,0.9230,0.6043,0.9117,0.6051,0.9245,0.5839,0.9265,0.5943,0.9255
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / Unbalanced,0.6222,0.9220,0.5557,0.8973,0.5538,0.9116,0.6033,0.9203,0.5736,0.9346,0.5557,0.8973,0.4893,0.8725,0.5214,0.8848
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / SMOTE,0.6222,0.9282,0.5857,0.9262,0.5837,0.9225,0.6188,0.9285,0.5894,0.9193,0.5857,0.9262,0.5492,0.9242,0.5671,0.9252
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / RandomOverSampler,0.6276,0.9224,0.6062,0.9245,0.6014,0.9169,0.6293,0.9230,0.6055,0.9117,0.6062,0.9245,0.5847,0.9265,0.5952,0.9255
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / Unbalanced,0.6235,0.9220,0.5576,0.8973,0.5559,0.9116,0.6050,0.9203,0.5755,0.9346,0.5576,0.8973,0.4917,0.8725,0.5236,0.8848
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / SMOTE,0.6290,0.9279,0.5962,0.9292,0.5946,0.9226,0.6277,0.9284,0.5980,0.9176,0.5962,0.9292,0.5633,0.9304,0.5794,0.9298
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / RandomOverSampler,0.6263,0.9224,0.6042,0.9245,0.5997,0.9169,0.6278,0.9230,0.6038,0.9117,0.6042,0.9245,0.5822,0.9265,0.5930,0.9255
GradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / Unbalanced,0.7266,0.9162,0.5125,0.8306,0.4853,0.8715,0.6633,0.9098,0.5281,0.9499,0.5125,0.8306,0.2984,0.7449,0.3907,0.7866
GradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / SMOTE,0.6964,0.9485,0.5204,0.9094,0.5146,0.9276,0.6645,0.9473,0.5380,0.9509,0.5204,0.9094,0.3444,0.8702,0.4232,0.8896
GradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler,0.6497,0.9492,0.5211,0.9392,0.5194,0.9328,0.6455,0.9495,0.5212,0.9270,0.5211,0.9392,0.3924,0.9292,0.4519,0.9342
GradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / Unbalanced,0.7266,0.9162,0.5125,0.8306,0.4853,0.8715,0.6633,0.9098,0.5281,0.9499,0.5125,0.8306,0.2984,0.7449,0.3907,0.7866
GradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / SMOTE,0.6937,0.9492,0.5186,0.9131,0.5084,0.9289,0.6603,0.9481,0.5282,0.9485,0.5186,0.9131,0.3435,0.8770,0.4214,0.8948
GradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler,0.6484,0.9492,0.5183,0.9392,0.5163,0.9328,0.6436,0.9495,0.5181,0.9270,0.5183,0.9392,0.3883,0.9292,0.4482,0.9342
GradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced,0.7266,0.9162,0.5125,0.8306,0.4853,0.8715,0.6633,0.9098,0.5281,0.9499,0.5125,0.8306,0.2984,0.7449,0.3907,0.7866
GradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE,0.6744,0.9475,0.5170,0.9124,0.5132,0.9268,0.6544,0.9465,0.5210,0.9445,0.5170,0.9124,0.3595,0.8774,0.4307,0.8947
GradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler,0.6497,0.9492,0.5211,0.9392,0.5194,0.9328,0.6455,0.9495,0.5212,0.9270,0.5211,0.9392,0.3924,0.9292,0.4519,0.9342
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced,0.7266,0.9162,0.5125,0.8306,0.4853,0.8715,0.6633,0.9098,0.5281,0.9499,0.5125,0.8306,0.2984,0.7449,0.3907,0.7866
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE,0.6964,0.9485,0.5204,0.9094,0.5146,0.9276,0.6645,0.9473,0.5380,0.9509,0.5204,0.9094,0.3444,0.8702,0.4232,0.8896
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler,0.6497,0.9492,0.5211,0.9392,0.5194,0.9328,0.6455,0.9495,0.5212,0.9270,0.5211,0.9392,0.3924,0.9292,0.4519,0.9342
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / Unbalanced,0.7266,0.9162,0.5125,0.8306,0.4853,0.8715,0.6633,0.9098,0.5281,0.9499,0.5125,0.8306,0.2984,0.7449,0.3907,0.7866
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / SMOTE,0.6937,0.9492,0.5186,0.9131,0.5084,0.9289,0.6603,0.9481,0.5282,0.9485,0.5186,0.9131,0.3435,0.8770,0.4214,0.8948
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / RandomOverSampler,0.6484,0.9492,0.5183,0.9392,0.5163,0.9328,0.6436,0.9495,0.5181,0.9270,0.5183,0.9392,0.3883,0.9292,0.4482,0.9342
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / Unbalanced,0.7266,0.9162,0.5125,0.8306,0.4853,0.8715,0.6633,0.9098,0.5281,0.9499,0.5125,0.8306,0.2984,0.7449,0.3907,0.7866
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / SMOTE,0.6744,0.9475,0.5170,0.9124,0.5132,0.9268,0.6544,0.9465,0.5210,0.9445,0.5170,0.9124,0.3595,0.8774,0.4307,0.8947
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / RandomOverSampler,0.6497,0.9492,0.5211,0.9392,0.5194,0.9328,0.6455,0.9495,0.5212,0.9270,0.5211,0.9392,0.3924,0.9292,0.4519,0.9342
GradientBoostingClassifier,3 Classes / Normal / No Scaler / Unbalanced / Feature Selection,0.4053,0.8815,0.3802,0.8703,0.3756,0.8794,0.3952,0.8811,0.3846,0.8965,0.3802,0.8703,0.6709,0.9300,0.5049,0.8996
GradientBoostingClassifier,3 Classes / Normal / StandardScaler / Unbalanced / Feature Selection,0.4053,0.8815,0.3802,0.8703,0.3756,0.8794,0.3952,0.8811,0.3846,0.8965,0.3802,0.8703,0.6709,0.9300,0.5049,0.8996
GradientBoostingClassifier,3 Classes / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.4053,0.8815,0.3802,0.8703,0.3756,0.8794,0.3952,0.8811,0.3846,0.8965,0.3802,0.8703,0.6709,0.9300,0.5049,0.8996
GradientBoostingClassifier,3 Classes / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.4053,0.8815,0.3802,0.8703,0.3756,0.8794,0.3952,0.8811,0.3846,0.8965,0.3802,0.8703,0.6709,0.9300,0.5049,0.8996
GradientBoostingClassifier,3 Classes / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.4053,0.8815,0.3802,0.8703,0.3756,0.8794,0.3952,0.8811,0.3846,0.8965,0.3802,0.8703,0.6709,0.9300,0.5049,0.8996
GradientBoostingClassifier,3 Classes / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.4053,0.8815,0.3802,0.8703,0.3756,0.8794,0.3952,0.8811,0.3846,0.8965,0.3802,0.8703,0.6709,0.9300,0.5049,0.8996
GradientBoostingClassifier,2 Classes IS vs W / Normal / No Scaler / Unbalanced / Feature Selection,0.6441,0.8894,0.5830,0.8554,0.5834,0.8725,0.6283,0.8858,0.6064,0.9052,0.5830,0.8554,0.5220,0.8215,0.5516,0.8383
GradientBoostingClassifier,2 Classes IS vs W / Normal / No Scaler / SMOTE / Feature Selection,0.6359,0.8949,0.5955,0.8841,0.5963,0.8852,0.6317,0.8947,0.6047,0.8866,0.5955,0.8841,0.5551,0.8732,0.5749,0.8786
GradientBoostingClassifier,2 Classes IS vs W / Normal / No Scaler / RandomOverSampler / Feature Selection,0.6304,0.8901,0.6126,0.8936,0.6067,0.8833,0.6329,0.8913,0.6107,0.8777,0.6126,0.8936,0.5947,0.8971,0.6035,0.8953
GradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / Unbalanced / Feature Selection,0.6427,0.8894,0.5811,0.8554,0.5810,0.8725,0.6263,0.8858,0.6041,0.9052,0.5811,0.8554,0.5195,0.8215,0.5494,0.8383
GradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / SMOTE / Feature Selection,0.6277,0.8953,0.6002,0.8901,0.5986,0.8869,0.6287,0.8957,0.6013,0.8842,0.6002,0.8901,0.5726,0.8850,0.5862,0.8875
GradientBoostingClassifier,2 Classes IS vs W / Normal / StandardScaler / RandomOverSampler / Feature Selection,0.6290,0.8901,0.6115,0.8936,0.6054,0.8833,0.6316,0.8913,0.6096,0.8777,0.6115,0.8936,0.5940,0.8971,0.6026,0.8953
GradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.6427,0.8894,0.5811,0.8554,0.5810,0.8725,0.6263,0.8858,0.6041,0.9052,0.5811,0.8554,0.5195,0.8215,0.5494,0.8383
GradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / SMOTE / Feature Selection,0.6236,0.8853,0.6029,0.8843,0.5987,0.8773,0.6261,0.8862,0.6015,0.8723,0.6029,0.8843,0.5823,0.8833,0.5925,0.8838
GradientBoostingClassifier,2 Classes IS vs W / Normal / MinMaxScaler / RandomOverSampler / Feature Selection,0.6304,0.8901,0.6126,0.8936,0.6067,0.8833,0.6329,0.8913,0.6107,0.8777,0.6126,0.8936,0.5947,0.8971,0.6035,0.8953
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.6441,0.8894,0.5830,0.8554,0.5834,0.8725,0.6283,0.8858,0.6064,0.9052,0.5830,0.8554,0.5220,0.8215,0.5516,0.8383
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / SMOTE / Feature Selection,0.6359,0.8949,0.5955,0.8841,0.5963,0.8852,0.6317,0.8947,0.6047,0.8866,0.5955,0.8841,0.5551,0.8732,0.5749,0.8786
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / RandomOverSampler / Feature Selection,0.6304,0.8901,0.6126,0.8936,0.6067,0.8833,0.6329,0.8913,0.6107,0.8777,0.6126,0.8936,0.5947,0.8971,0.6035,0.8953
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.6427,0.8894,0.5811,0.8554,0.5810,0.8725,0.6263,0.8858,0.6041,0.9052,0.5811,0.8554,0.5195,0.8215,0.5494,0.8383
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / SMOTE / Feature Selection,0.6277,0.8953,0.6002,0.8901,0.5986,0.8869,0.6287,0.8957,0.6013,0.8842,0.6002,0.8901,0.5726,0.8850,0.5862,0.8875
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / RandomOverSampler / Feature Selection,0.6290,0.8901,0.6115,0.8936,0.6054,0.8833,0.6316,0.8913,0.6096,0.8777,0.6115,0.8936,0.5940,0.8971,0.6026,0.8953
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.6427,0.8894,0.5811,0.8554,0.5810,0.8725,0.6263,0.8858,0.6041,0.9052,0.5811,0.8554,0.5195,0.8215,0.5494,0.8383
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / SMOTE / Feature Selection,0.6236,0.8853,0.6029,0.8843,0.5987,0.8773,0.6261,0.8862,0.6015,0.8723,0.6029,0.8843,0.5823,0.8833,0.5925,0.8838
GradientBoostingClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.6304,0.8901,0.6126,0.8936,0.6067,0.8833,0.6329,0.8913,0.6107,0.8777,0.6126,0.8936,0.5947,0.8971,0.6035,0.8953
GradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / Unbalanced / Feature Selection,0.7225,0.8887,0.5191,0.7773,0.5030,0.8211,0.6698,0.8767,0.5698,0.9302,0.5191,0.7773,0.3157,0.6659,0.4048,0.7194
GradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / SMOTE / Feature Selection,0.7060,0.9087,0.5305,0.8335,0.5267,0.8643,0.6739,0.9035,0.5490,0.9165,0.5305,0.8335,0.3551,0.7583,0.4338,0.7949
GradientBoostingClassifier,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler / Feature Selection,0.6430,0.9111,0.5371,0.9032,0.5358,0.8855,0.6482,0.9129,0.5372,0.8719,0.5371,0.9032,0.4313,0.8952,0.4811,0.8992
GradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / Unbalanced / Feature Selection,0.7212,0.8887,0.5182,0.7773,0.5023,0.8211,0.6690,0.8767,0.5635,0.9302,0.5182,0.7773,0.3152,0.6659,0.4041,0.7194
GradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / SMOTE / Feature Selection,0.6841,0.9073,0.5178,0.8456,0.5133,0.8670,0.6587,0.9040,0.5250,0.8983,0.5178,0.8456,0.3516,0.7839,0.4264,0.8142
GradientBoostingClassifier,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler / Feature Selection,0.6416,0.9111,0.5362,0.9032,0.5349,0.8855,0.6471,0.9129,0.5364,0.8719,0.5362,0.9032,0.4308,0.8952,0.4805,0.8992
GradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced / Feature Selection,0.7198,0.8887,0.5173,0.7773,0.5015,0.8211,0.6680,0.8767,0.5641,0.9302,0.5173,0.7773,0.3148,0.6659,0.4035,0.7194
GradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE / Feature Selection,0.6745,0.9039,0.5264,0.8391,0.5267,0.8610,0.6603,0.9000,0.5340,0.8959,0.5264,0.8391,0.3783,0.7744,0.4461,0.8060
GradientBoostingClassifier,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler / Feature Selection,0.6416,0.9111,0.5362,0.9032,0.5349,0.8855,0.6471,0.9129,0.5364,0.8719,0.5362,0.9032,0.4308,0.8952,0.4805,0.8992
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced / Feature Selection,0.7225,0.8887,0.5191,0.7773,0.5030,0.8211,0.6698,0.8767,0.5698,0.9302,0.5191,0.7773,0.3157,0.6659,0.4048,0.7194
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE / Feature Selection,0.7060,0.9087,0.5305,0.8335,0.5267,0.8643,0.6739,0.9035,0.5490,0.9165,0.5305,0.8335,0.3551,0.7583,0.4338,0.7949
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler / Feature Selection,0.6430,0.9111,0.5371,0.9032,0.5358,0.8855,0.6482,0.9129,0.5372,0.8719,0.5371,0.9032,0.4313,0.8952,0.4811,0.8992
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / Unbalanced / Feature Selection,0.7212,0.8887,0.5182,0.7773,0.5023,0.8211,0.6690,0.8767,0.5635,0.9302,0.5182,0.7773,0.3152,0.6659,0.4041,0.7194
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / SMOTE / Feature Selection,0.6841,0.9073,0.5178,0.8456,0.5133,0.8670,0.6587,0.9040,0.5250,0.8983,0.5178,0.8456,0.3516,0.7839,0.4264,0.8142
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / StandardScaler / RandomOverSampler / Feature Selection,0.6416,0.9111,0.5362,0.9032,0.5349,0.8855,0.6471,0.9129,0.5364,0.8719,0.5362,0.9032,0.4308,0.8952,0.4805,0.8992
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / Unbalanced / Feature Selection,0.7198,0.8887,0.5173,0.7773,0.5015,0.8211,0.6680,0.8767,0.5641,0.9302,0.5173,0.7773,0.3148,0.6659,0.4035,0.7194
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / SMOTE / Feature Selection,0.6745,0.9039,0.5264,0.8391,0.5267,0.8610,0.6603,0.9000,0.5340,0.8959,0.5264,0.8391,0.3783,0.7744,0.4461,0.8060
GradientBoostingClassifier,2 Classes S vs IW / Feature Engineering / MinMaxScaler / RandomOverSampler / Feature Selection,0.6416,0.9111,0.5362,0.9032,0.5349,0.8855,0.6471,0.9129,0.5364,0.8719,0.5362,0.9032,0.4308,0.8952,0.4805,0.8992
KNeighborsClassifier,3 Classes / Normal / No Scaler / Unbalanced,0.4313,0.5100,0.4031,0.4797,0.3967,0.4770,0.4177,0.4978,0.4069,0.4924,0.4031,0.4797,0.6808,0.7242,0.5238,0.5894
KNeighborsClassifier,3 Classes / Normal / StandardScaler / Unbalanced,0.3888,0.5069,0.3556,0.4727,0.3430,0.4671,0.3665,0.4901,0.3663,0.4894,0.3556,0.4727,0.6485,0.7186,0.4798,0.5828
KNeighborsClassifier,3 Classes / Normal / MinMaxScaler / Unbalanced,0.3777,0.5110,0.3502,0.4830,0.3443,0.4825,0.3660,0.4999,0.3480,0.5025,0.3502,0.4830,0.6551,0.7233,0.4789,0.5910
KNeighborsClassifier,3 Classes / Feature Engineering / No Scaler / Unbalanced,0.4313,0.5100,0.4031,0.4797,0.3967,0.4770,0.4177,0.4978,0.4069,0.4924,0.4031,0.4797,0.6808,0.7242,0.5238,0.5894
KNeighborsClassifier,3 Classes / Feature Engineering / StandardScaler / Unbalanced,0.3888,0.5069,0.3556,0.4727,0.3430,0.4671,0.3665,0.4901,0.3663,0.4894,0.3556,0.4727,0.6485,0.7186,0.4798,0.5828
KNeighborsClassifier,3 Classes / Feature Engineering / MinMaxScaler / Unbalanced,0.3777,0.5110,0.3502,0.4830,0.3443,0.4825,0.3660,0.4999,0.3480,0.5025,0.3502,0.4830,0.6551,0.7233,0.4789,0.5910
KNeighborsClassifier,2 Classes IS vs W / Normal / No Scaler / Unbalanced,0.6332,0.6885,0.5524,0.6105,0.5426,0.6106,0.6004,0.6603,0.5750,0.6615,0.5524,0.6105,0.4715,0.5325,0.5103,0.5702
KNeighborsClassifier,2 Classes IS vs W / Normal / No Scaler / SMOTE,0.5522,0.5982,0.5868,0.6405,0.5502,0.5974,0.5561,0.6014,0.5841,0.6356,0.5868,0.6405,0.6214,0.6828,0.6038,0.6613
KNeighborsClassifier,2 Classes IS vs W / Normal / No Scaler / RandomOverSampler,0.5591,0.6267,0.5657,0.6400,0.5495,0.6195,0.5671,0.6342,0.5611,0.6289,0.5657,0.6400,0.5723,0.6533,0.5689,0.6466
KNeighborsClassifier,2 Classes IS vs W / Normal / StandardScaler / Unbalanced,0.6098,0.6717,0.5094,0.5791,0.4794,0.5682,0.5536,0.6285,0.5109,0.6442,0.5094,0.5791,0.4090,0.4864,0.4563,0.5307
KNeighborsClassifier,2 Classes IS vs W / Normal / StandardScaler / SMOTE,0.4450,0.5419,0.5026,0.6095,0.4423,0.5397,0.4330,0.5314,0.5021,0.6207,0.5026,0.6095,0.5601,0.6771,0.5305,0.6424
KNeighborsClassifier,2 Classes IS vs W / Normal / StandardScaler / RandomOverSampler,0.5247,0.6126,0.5253,0.6316,0.5108,0.6068,0.5311,0.6195,0.5234,0.6223,0.5253,0.6316,0.5259,0.6506,0.5255,0.6410
KNeighborsClassifier,2 Classes IS vs W / Normal / MinMaxScaler / Unbalanced,0.6154,0.6734,0.5240,0.5849,0.5052,0.5762,0.5718,0.6340,0.5365,0.6455,0.5240,0.5849,0.4325,0.4964,0.4760,0.5388
KNeighborsClassifier,2 Classes IS vs W / Normal / MinMaxScaler / SMOTE,0.5138,0.5838,0.5509,0.6205,0.5132,0.5827,0.5170,0.5886,0.5495,0.6148,0.5509,0.6205,0.5880,0.6572,0.5692,0.6386
KNeighborsClassifier,2 Classes IS vs W / Normal / MinMaxScaler / RandomOverSampler,0.5097,0.6119,0.5119,0.6195,0.4982,0.6027,0.5174,0.6197,0.5110,0.6101,0.5119,0.6195,0.5142,0.6271,0.5130,0.6233
KNeighborsClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / Unbalanced,0.6332,0.6885,0.5524,0.6105,0.5426,0.6106,0.6004,0.6603,0.5750,0.6615,0.5524,0.6105,0.4715,0.5325,0.5103,0.5702
KNeighborsClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / SMOTE,0.5522,0.5982,0.5868,0.6405,0.5502,0.5974,0.5561,0.6014,0.5841,0.6356,0.5868,0.6405,0.6214,0.6828,0.6038,0.6613
KNeighborsClassifier,2 Classes IS vs W / Feature Engineering / No Scaler / RandomOverSampler,0.5591,0.6267,0.5657,0.6400,0.5495,0.6195,0.5671,0.6342,0.5611,0.6289,0.5657,0.6400,0.5723,0.6533,0.5689,0.6466
KNeighborsClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / Unbalanced,0.6098,0.6717,0.5094,0.5791,0.4794,0.5682,0.5536,0.6285,0.5109,0.6442,0.5094,0.5791,0.4090,0.4864,0.4563,0.5307
KNeighborsClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / SMOTE,0.4450,0.5419,0.5026,0.6095,0.4423,0.5397,0.4330,0.5314,0.5021,0.6207,0.5026,0.6095,0.5601,0.6771,0.5305,0.6424
KNeighborsClassifier,2 Classes IS vs W / Feature Engineering / StandardScaler / RandomOverSampler,0.5247,0.6126,0.5253,0.6316,0.5108,0.6068,0.5311,0.6195,0.5234,0.6223,0.5253,0.6316,0.5259,0.6506,0.5255,0.6410
KNeighborsClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / Unbalanced,0.6154,0.6734,0.5240,0.5849,0.5052,0.5762,0.5718,0.6340,0.5365,0.6455,0.5240,0.5849,0.4325,0.4964,0.4760,0.5388
KNeighborsClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / SMOTE,0.5138,0.5838,0.5509,0.6205,0.5132,0.5827,0.5170,0.5886,0.5495,0.6148,0.5509,0.6205,0.5880,0.6572,0.5692,0.6386
KNeighborsClassifier,2 Classes IS vs W / Feature Engineering / MinMaxScaler / RandomOverSampler,0.5097,0.6119,0.5119,0.6195,0.4982,0.6027,0.5174,0.6197,0.5110,0.6101,0.5119,0.6195,0.5142,0.6271,0.5130,0.6233
KNeighborsClassifier,2 Classes S vs IW / Normal / No Scaler / Unbalanced,0.7376,0.7558,0.4974,0.5202,0.4440,0.4782,0.6483,0.6706,0.4925,0.6539,0.4974,0.5202,0.2572,0.2846,0.3577,0.3847
KNeighborsClassifier,2 Classes S vs IW / Normal / No Scaler / SMOTE,0.4643,0.5663,0.5192,0.6545,0.4510,0.5553,0.4935,0.5903,0.5147,0.6197,0.5192,0.6545,0.5740,0.7428,0.5459,0.6973
KNeighborsClassifier,2 Classes S vs IW / Normal / No Scaler / RandomOverSampler,0.5440,0.6535,0.5255,0.6677,0.4982,0.6169,0.5743,0.6766,0.5195,0.6267,0.5255,0.6677,0.5070,0.6819,0.5161,0.6748
KNeighborsClassifier,2 Classes S vs IW / Normal / StandardScaler / Unbalanced,0.7500,0.7576,0.4982,0.5130,0.4286,0.4584,0.6452,0.6619,0.3760,0.7422,0.4982,0.5130,0.2464,0.2684,0.3503,0.3710
KNeighborsClassifier,2 Classes S vs IW / Normal / StandardScaler / SMOTE,0.4067,0.4986,0.4865,0.6161,0.4011,0.4953,0.4278,0.5153,0.4900,0.5985,0.4865,0.6161,0.5663,0.7336,0.5248,0.6723
KNeighborsClassifier,2 Classes S vs IW / Normal / StandardScaler / RandomOverSampler,0.5454,0.6422,0.4929,0.6336,0.4784,0.5963,0.5718,0.6650,0.4935,0.6027,0.4929,0.6336,0.4403,0.6250,0.4654,0.6293
KNeighborsClassifier,2 Classes S vs IW / Normal / MinMaxScaler / Unbalanced,0.7486,0.7552,0.4991,0.5105,0.4334,0.4549,0.6470,0.6594,0.4762,0.6783,0.4991,0.5105,0.2496,0.2658,0.3530,0.3683
KNeighborsClassifier,2 Classes S vs IW / Normal / MinMaxScaler / SMOTE,0.5084,0.5766,0.5485,0.6460,0.4878,0.5603,0.5373,0.6016,0.5365,0.6114,0.5485,0.6460,0.5887,0.7154,0.5681,0.6797
KNeighborsClassifier,2 Classes S vs IW / Normal / MinMaxScaler / RandomOverSampler,0.5578,0.6339,0.5291,0.6393,0.5060,0.5942,0.5866,0.6582,0.5226,0.6054,0.5291,0.6393,0.5004,0.6447,0.5144,0.6420
KNeighborsClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / Unbalanced,0.7376,0.7558,0.4974,0.5202,0.4440,0.4782,0.6483,0.6706,0.4925,0.6539,0.4974,0.5202,0.2572,0.2846,0.3577,0.3847
KNeighborsClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / SMOTE,0.4643,0.5663,0.5192,0.6545,0.4510,0.5553,0.4935,0.5903,0.5147,0.6197,0.5192,0.6545,0.5740,0.7428,0.5459,0.6973
KNeighborsClassifier,2 Classes S vs IW / Feature Engineering / No Scaler / RandomOverSampler,0.5440,0.6535,0.5255,0.6677,0.4982,0.6169,0.5743,0.6766,0.5195,0.6267,0.5255,0.6677,0.5070,0.6819,0.5161,0.6748
