iter	Passed	Remaining
1108	878	705
1109	879	705
1110	880	704
1111	880	703
1112	881	702
1113	882	701
1114	883	700
1115	883	700
1116	884	699
1117	885	698
1118	886	697
1119	886	696
1120	887	696
1121	888	695
1122	889	694
1123	890	693
1124	890	692
1125	891	692
1126	892	691
1127	893	690
1128	893	689
1129	894	688
1130	895	688
1131	896	687
1132	897	686
1133	898	685
1134	898	685
1135	899	684
1136	900	683
1137	901	682
1138	901	681
1139	902	680
1140	903	679
1141	903	679
1142	904	678
1143	905	677
1144	905	676
1145	906	675
1146	907	674
1147	908	674
1148	909	673
1149	909	672
1150	910	671
1151	911	670
1152	912	670
1153	912	669
1154	913	668
1155	914	667
1156	914	666
1157	915	665
1158	916	664
1159	917	664
1160	917	663
1161	918	662
1162	919	661
1163	919	660
1164	920	659
1165	921	658
1166	922	658
1167	922	657
1168	923	656
1169	924	655
1170	925	654
1171	926	654
1172	926	653
1173	927	652
1174	928	651
1175	929	651
1176	929	650
1177	930	649
1178	931	648
1179	932	647
1180	932	646
1181	933	646
1182	934	645
1183	935	644
1184	935	643
1185	936	642
1186	937	641
1187	938	641
1188	938	640
1189	939	639
1190	940	638
1191	941	637
1192	941	637
1193	942	636
1194	943	635
1195	943	634
1196	944	633
1197	945	632
1198	946	632
1199	947	631
1200	947	630
1201	948	629
1202	949	629
1203	950	628
1204	950	627
1205	951	626
1206	952	625
1207	953	624
1208	954	624
1209	954	623
1210	955	622
1211	956	621
1212	957	621
1213	957	620
1214	958	619
1215	959	618
1216	960	617
1217	960	616
1218	961	616
1219	962	615
1220	963	614
1221	964	613
1222	964	613
1223	965	612
1224	966	611
1225	967	610
1226	968	609
1227	968	609
1228	969	608
1229	970	607
1230	971	606
1231	971	605
1232	972	605
1233	973	604
1234	974	603
1235	974	602
1236	975	601
1237	976	600
1238	977	600
1239	977	599
1240	978	598
1241	979	597
1242	980	596
1243	981	596
1244	981	595
1245	982	594
1246	983	593
1247	984	593
1248	984	592
1249	985	591
1250	986	590
1251	987	589
1252	987	588
1253	988	588
1254	989	587
1255	989	586
1256	990	585
1257	991	584
1258	992	583
1259	992	583
1260	993	582
1261	994	581
1262	995	580
1263	996	580
1264	997	579
1265	997	578
1266	998	577
1267	999	577
1268	1000	576
1269	1001	575
1270	1001	574
1271	1002	573
1272	1003	573
1273	1004	572
1274	1005	571
1275	1006	570
1276	1006	570
1277	1007	569
1278	1008	568
1279	1009	567
1280	1009	566
1281	1010	565
1282	1011	565
1283	1011	564
1284	1012	563
1285	1013	562
1286	1014	562
1287	1015	561
1288	1016	560
1289	1016	559
1290	1017	558
1291	1018	557
1292	1018	557
1293	1019	556
1294	1020	555
1295	1021	554
1296	1022	554
1297	1022	553
1298	1023	552
1299	1024	551
1300	1025	550
1301	1026	550
1302	1028	549
1303	1029	549
1304	1030	548
1305	1031	548
1306	1032	547
1307	1033	546
1308	1033	545
1309	1034	544
1310	1035	544
1311	1036	543
1312	1037	542
1313	1038	542
1314	1039	541
1315	1039	540
1316	1040	539
1317	1041	539
1318	1042	538
1319	1043	537
1320	1044	536
1321	1044	535
1322	1045	535
1323	1046	534
1324	1047	533
1325	1048	532
1326	1048	531
1327	1049	531
1328	1050	530
1329	1051	529
1330	1052	528
1331	1053	528
1332	1053	527
1333	1054	526
1334	1055	525
1335	1056	524
1336	1056	524
1337	1057	523
1338	1058	522
1339	1059	521
1340	1060	520
1341	1060	520
1342	1061	519
1343	1062	518
1344	1063	517
1345	1064	517
1346	1065	516
1347	1065	515
1348	1066	514
1349	1067	514
1350	1068	513
1351	1069	512
1352	1070	511
1353	1070	510
1354	1071	510
1355	1072	509
1356	1073	508
1357	1074	507
1358	1074	506
1359	1075	506
1360	1076	505
1361	1077	504
1362	1078	503
1363	1079	503
1364	1079	502
1365	1080	501
1366	1081	500
1367	1082	499
1368	1083	499
1369	1083	498
1370	1084	497
1371	1085	496
1372	1086	495
1373	1086	495
1374	1087	494
1375	1088	493
1376	1088	492
1377	1089	491
1378	1090	491
1379	1091	490
1380	1091	489
1381	1092	488
1382	1093	487
1383	1094	487
1384	1094	486
1385	1095	485
1386	1096	484
1387	1097	483
1388	1097	482
1389	1098	482
1390	1099	481
1391	1100	480
1392	1100	479
1393	1101	478
1394	1102	478
1395	1103	477
1396	1103	476
1397	1104	475
1398	1105	474
1399	1106	474
1400	1106	473
1401	1107	472
1402	1108	471
1403	1108	470
1404	1109	469
1405	1110	469
1406	1111	468
1407	1111	467
1408	1112	466
1409	1113	465
1410	1113	464
1411	1114	464
1412	1115	463
1413	1115	462
1414	1116	461
1415	1117	460
1416	1118	460
1417	1118	459
1418	1119	458
1419	1120	457
1420	1121	456
1421	1121	456
1422	1122	455
1423	1123	454
1424	1123	453
1425	1124	452
1426	1125	451
1427	1126	451
1428	1126	450
1429	1127	449
1430	1128	448
1431	1129	447
1432	1129	447
1433	1130	446
1434	1131	445
1435	1132	444
1436	1133	443
1437	1133	443
1438	1134	442
1439	1135	441
1440	1136	440
1441	1136	439
1442	1137	439
1443	1138	438
1444	1139	437
1445	1139	436
1446	1140	435
1447	1141	435
1448	1142	434
1449	1142	433
1450	1143	432
1451	1144	432
1452	1145	431
1453	1146	430
1454	1147	429
1455	1147	428
1456	1148	428
1457	1149	427
1458	1150	426
1459	1151	425
1460	1151	424
1461	1152	424
1462	1153	423
1463	1154	422
1464	1154	421
1465	1155	420
1466	1156	420
1467	1157	419
1468	1158	418
1469	1158	417
1470	1159	417
1471	1160	416
1472	1161	415
1473	1162	414
1474	1163	413
1475	1163	413
1476	1164	412
1477	1165	411
1478	1166	410
1479	1167	410
1480	1168	409
1481	1168	408
1482	1169	407
1483	1170	407
1484	1171	406
1485	1172	405
1486	1173	404
1487	1173	403
1488	1174	403
1489	1175	402
1490	1176	401
1491	1177	400
1492	1178	400
1493	1179	399
1494	1180	398
1495	1180	397
1496	1181	397
1497	1182	396
1498	1183	395
1499	1184	394
1500	1185	393
1501	1185	393
1502	1186	392
1503	1187	391
1504	1188	390
1505	1189	390
1506	1189	389
1507	1190	388
1508	1191	387
1509	1192	386
1510	1193	386
1511	1194	385
1512	1194	384
1513	1195	383
1514	1196	383
1515	1197	382
1516	1198	381
1517	1198	380
1518	1199	379
1519	1200	379
1520	1201	378
1521	1202	377
1522	1203	376
1523	1203	376
1524	1204	375
1525	1205	374
1526	1206	373
1527	1207	372
1528	1208	372
1529	1209	371
1530	1209	370
1531	1210	369
1532	1211	369
1533	1212	368
1534	1213	367
1535	1213	366
1536	1214	365
1537	1215	365
1538	1216	364
1539	1217	363
1540	1217	362
1541	1218	361
1542	1219	361
1543	1220	360
1544	1220	359
1545	1222	359
1546	1224	358
1547	1226	358
1548	1227	357
1549	1228	356
1550	1229	355
1551	1230	355
1552	1230	354
1553	1232	353
1554	1233	352
1555	1234	352
1556	1235	351
1557	1236	350
1558	1236	349
1559	1237	349
1560	1238	348
1561	1239	347
1562	1240	346
1563	1241	346
1564	1242	345
1565	1242	344
1566	1243	343
1567	1244	342
1568	1245	342
1569	1246	341
1570	1246	340
1571	1247	339
1572	1248	338
1573	1249	338
1574	1249	337
1575	1250	336
1576	1251	335
1577	1252	334
1578	1253	334
1579	1253	333
1580	1254	332
1581	1255	331
1582	1256	330
1583	1257	330
1584	1257	329
1585	1258	328
1586	1259	327
1587	1260	326
1588	1260	326
1589	1261	325
1590	1262	324
1591	1263	323
1592	1264	322
1593	1264	322
1594	1265	321
1595	1266	320
1596	1267	319
1597	1267	318
1598	1268	318
1599	1269	317
1600	1270	316
1601	1270	315
1602	1271	314
1603	1272	314
1604	1273	313
1605	1274	312
1606	1274	311
1607	1275	311
1608	1276	310
1609	1277	309
1610	1278	308
1611	1279	307
1612	1280	307
1613	1280	306
1614	1281	305
1615	1282	304
1616	1283	303
1617	1283	303
1618	1284	302
1619	1285	301
1620	1286	300
1621	1286	299
1622	1287	299
1623	1288	298
1624	1288	297
1625	1289	296
1626	1290	295
1627	1291	295
1628	1292	294
1629	1292	293
1630	1293	292
1631	1294	291
1632	1295	291
1633	1295	290
1634	1296	289
1635	1297	288
1636	1297	287
1637	1298	287
1638	1299	286
1639	1300	285
1640	1300	284
1641	1301	283
1642	1302	282
1643	1303	282
1644	1303	281
1645	1304	280
1646	1305	279
1647	1306	278
1648	1306	278
1649	1307	277
1650	1308	276
1651	1308	275
1652	1309	274
1653	1310	274
1654	1311	273
1655	1311	272
1656	1312	271
1657	1313	270
1658	1314	270
1659	1314	269
1660	1315	268
1661	1316	267
1662	1317	266
1663	1317	266
1664	1318	265
1665	1319	264
1666	1320	263
1667	1320	262
1668	1321	262
1669	1322	261
1670	1323	260
1671	1323	259
1672	1324	258
1673	1325	258
1674	1326	257
1675	1326	256
1676	1327	255
1677	1328	254
1678	1329	254
1679	1329	253
1680	1330	252
1681	1331	251
1682	1332	250
1683	1333	250
1684	1333	249
1685	1334	248
1686	1335	247
1687	1336	246
1688	1336	246
1689	1337	245
1690	1338	244
1691	1339	243
1692	1339	242
1693	1340	242
1694	1341	241
1695	1342	240
1696	1342	239
1697	1343	238
1698	1344	238
1699	1345	237
1700	1346	236
1701	1346	235
1702	1347	235
1703	1348	234
1704	1349	233
1705	1349	232
1706	1350	231
1707	1351	231
1708	1352	230
1709	1352	229
1710	1353	228
1711	1354	227
1712	1355	227
1713	1355	226
1714	1356	225
1715	1357	224
1716	1358	223
1717	1358	223
1718	1359	222
1719	1360	221
1720	1360	220
1721	1361	219
1722	1362	219
1723	1363	218
1724	1363	217
1725	1364	216
1726	1365	215
1727	1366	215
1728	1367	214
1729	1367	213
1730	1368	212
1731	1369	211
1732	1370	211
1733	1370	210
1734	1371	209
1735	1372	208
1736	1373	207
1737	1373	207
1738	1374	206
1739	1375	205
1740	1376	204
1741	1377	203
1742	1378	203
1743	1378	202
1744	1379	201
1745	1380	200
1746	1381	200
1747	1382	199
1748	1382	198
1749	1383	197
